english	sign
jones likes going to the barber	j o n e s like go barber
i was born in anantpur in 1956	me born place a n a n t p u r 1 9 5 6
open the door	open door
i want our kids to live here but there are no jobs	me want our children stay this no work
i am thinking wait	me thinking wait
he wishes to drink something	he drink something want
she was born in bikaner	she born place b i k a n e r
she was born in october	she born october
he read it and broke into tears	he read d i a r y tears
she studied music	she study music
everyone felt sorry for him	people know sorry him
her dog she forgot to feed	she forgot feed dog
tonight she is appearing on TV	she appear on TV tonight
she does not like shopping	she like shopping no
school she will change next year	she change school develop year
she got the order from the US state department to go to Germany	she take the order u s s t a t e d e p t go g e r m a n y
387	3 8 7
he was working on the farm for the entire day	him work farmland day
the patient's breath was his last	patient breathe die
sick with fever her sister died there	sister sick ill died
i hurt his pride by what i said	me say pain his pride
audience	audience
i was born in habra in 1973	me born place h a b r a 1 9 7 3
let us meet today	we today meet can
use the trash don't throw garbage please	please garbage no use dustbin
please don't throw garbage use dustbin	please garbage no use dustbin
speak in a louder voice please	please say big voice
on thursday she went to kerala	she go k e r a l a thursday
his father passed away in 1972	his father died 1 9 7 2
i cannot bear to see him	me no look him
she became famous suddenly	she be shock famous
august, september, october, november, december, january,	a tiewrist s blank s october n cracker d cold j eid
on wednesday he went to qatar	he go q a t a r wednesday
you live where	you stay where
28	2 8
italy is in europe	i t a l y e u r o p e
all the places were searched	search
692	6 9 2
jane looks gorgeous	j a n e beauty
78 people are walking	7 8 people walk
she set fire to her house	she lit own house
the river is across one kilometer	river 1 k m across
a lot of people live on this island	big people home this island
could you tell me your phone number	you mobile_number what  
69 people are walking	6 9 people walk
she is hungry	she hungry
he is accustomed to hardwork	he difficult work
stop beating around the bush	close beat around the bush
she wants to be a singer	she want singer
this book is famous	everyone know book
we all got tiredby her speech	she long speech bored us
she is beautiful	she beauty
from june till january	j rain j eid between
december	d cold
nobody else offered to help	no people offer help
tennis is my favorite game	t e n n i s me like game
he has been wanting to do it for the past 8 years	he like work past 8 year
she is going to meet him tomorrow	she her meet tomorrow
he was born in manipala	he born place m a n i p a l a
i cannot bear to see him	me no look him
i love table tennis	me like t a b l e t e n n i s
he changed schools last year	he change school past year
she was born in patiala	she born place p a t i a l a
1105	1 1 0 5
it was too easy for me	too easy me
i am going to be a range of mountains	me go be mountains
january, february, march, april,	j eid f m march a blank a
an expenditure which has no value	money no money
i saw him never before	me no seen him past
i reject this view completely	me reject this view complete
they doesn’t not know play cricket	they know no how play cricket
he shut the door suddenly	he close door shock
your team is better than ours	you team our good better
he is going to america tomorrow	he tomorrow go a m e r i c a
barren land	piece this cultivation no
they was absent because of illness	they ill absent
he was born in mathura	he born place m a t h u r a
she have not taken charity from anyone and have worked hard for my whole life	she work difficult she life she no take anyone take
she is being a beautician	she be beauty
one small event in a large success story	1 small big correct good story
2 people are there in her family	her family 2 people
i have got the order to shoot you	me order you shoot
he could not swim	he know no how swim
they purchased expensive things	they big money purchase
him i've never seen before	me no seen him past
anything you didn't tell him	you him no say
he is digging his own grave	he dig own grave
this was done successfully at the local nursing homes where he worked	he work local nurse where work good
at the news we were surprised	we surprise news
she suffered getting sick and died	she sick suffered died
sorry his father is not hohe	he sorry he father out
3 people are there in my family	me family 3 people
the entire day she was working on the farm	her work farmland day
give her a cup of tea please	please take cup tea
she went to the bathroom	she bathroom go
he read this book yesterday	he read this book past
she was born on 18 june 1981	she born 1 8 j rain 1 9 8 1
that is a great idea	that correct idea
mercy on whomever we please	mercy like keep
they could not play cricket	they know no how play cricket
150	1 5 0
6	6
she was born on 1 october 1971	she born 1 october 1 9 7 1
he was born on 10 july 1924	he born 1 0 j y 1 9 2 4
are you still angry	you angry
54 people are walking	5 4 people walk
the outcome of the test makes her worried	she correct anxious
sorry my father is not here	me sorry me father out
what kind of work will you do	what work you do
soldiers were threatening them	soldiers threaten
which place you live	you stay where
he takes his dog for a walk everyday	he walk his dog every morning
10 houses were burned down	1 0 house burn down
he bored us with his long speech	he long speech bored us
from november to july	n cracker j y between
what's your mobile number	you mobile_number what  
i like pink color	me pink like
i hope tomorrow it rains	me think tomorrow rain
they assaulted me	they take my youth
i was born on 22 february 2015	me born 2 2 f 2 0 1 5
do he want flowers	he like flower
he was assaulted 	he attack
you shouldn't book tickets	you ticket bookv no
she explained the rule to me	she rule me
571	5 7 1
you were born in guntur	you born place g u n t u r
the novel is very exciting	novel is big excite
